City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,gat,31.61,34.7642,85.41,100,0,11.7,IL,1661713791
300,mpongwe,-13.5091,28.155,72.36,30,0,9.8,ZM,1661713903
301,kermen,42.5,26.25,80.19,35,37,4.43,BG,1661713905
302,husavik,66.0449,-17.3389,51.06,63,100,5.44,IS,1661713907
303,north bay,46.3168,-79.4663,80.94,45,100,7.7,CA,1661713894
304,lunglei,22.8833,92.7333,66.24,96,100,1.97,IN,1661713912
305,rawson,-43.3002,-65.1023,60.12,26,0,13.09,AR,1661713917
306,hua hin,12.5707,99.9588,80.02,83,100,4.29,TH,1661713751
307,shelburne,44.0787,-80.2041,86.23,38,97,11.05,CA,1661713921
308,moose factory,51.2585,-80.6094,78.37,58,99,18.75,CA,1661713923
309,kutum,14.2,24.6667,75.24,53,98,9.53,SD,1661713926
310,wanxian,30.8039,108.3897,79.9,89,94,6.06,CN,1661713928
311,vryburg,-26.9566,24.7284,67.77,21,0,8.95,ZA,1661713933
312,daru,-9.0763,143.2092,77.7,91,57,12.73,PG,1661713935
313,teguldet,57.3064,88.1667,51.37,97,100,11.54,RU,1661713937
314,narsaq,60.9167,-46.05,46.62,78,100,3.04,GL,1661713940
315,huarmey,-10.0681,-78.1522,67.87,69,2,12.24,PE,1661713934
316,roald,62.5833,6.1333,57.76,76,75,10.36,NO,1661713944
317,seymchan,62.8833,152.4333,51.21,76,100,2.95,RU,1661713947
318,panjab,34.388,67.0233,54.99,31,0,5.17,AF,1661713949
319,coquimbo,-29.9533,-71.3436,58.73,82,20,11.5,CL,1661713952
320,iracoubo,5.4802,-53.2011,84.07,70,99,11.61,GF,1661713954
321,ca mau,9.1769,105.15,77.79,89,100,1.66,VN,1661713720
322,wanning,18.8003,110.3967,79.12,87,100,4.34,CN,1661713959
323,miles city,46.4083,-105.8406,76.17,31,20,25.32,US,1661713963
324,bilibino,68.0546,166.4372,50.16,66,100,1.97,RU,1661713965
325,dunedin,-45.8742,170.5036,48.79,81,43,8.01,NZ,1661713970
326,salto,-31.3833,-57.9667,55.56,54,0,15.99,UY,1661713917
327,shahreza,32.0339,51.8794,67.73,10,0,6.89,IR,1661713975
328,fort nelson,58.8053,-122.7002,68.56,36,38,4.41,CA,1661713977
329,port hardy,50.6996,-127.4199,58.95,85,100,8.25,CA,1661713981
